39.601 142.497 14.841 STD
0.323 0.288 0.367 0.402
ST02 ST12 11.106 4.733
ST05 CA00 2.359 1.271
ST10 CA00 -19.139 9.540
ST01 ST07 1.815 1.782
ST03 ST10 9.909 3.569
ST02 ST05 -4.867 3.497
ST01 ST11 -2.566 1.689
ST03 ST11 1.762 1.951
ST07 ST09 -5.152 2.058
ST07 CA00 -15.098 5.609
ST04 ST12 1.750 7.468
ST09 ST10 9.995 2.567
ST08 ST10 13.902 0.000
ST03 ST08 -5.535 3.843
ST07 ST12 -1.167 2.731
ST02 ST10 15.061 1.661
ST08 CA00 -4.556 4.635
ST06 ST09 2.454 2.757
ST04 ST11 -2.395 1.497
ST07 ST10 4.262 3.396
ST02 ST08 0.315 2.250
ST02 CA00 -3.921 2.939
ST05 ST09 11.754 1.840
ST03 ST06 -1.999 14.519
ST03 ST12 5.034 5.762
ST01 ST05 -15.327 3.737
ST01 ST03 -4.615 4.816
ST05 ST07 16.492 2.805
