39.496 143.838 17.956 STD
0.506 2.529 2.921 0.344
ST09 CA00 6.021 0.000
ST06 CA00 0.801 13.994
ST08 CA00 11.152 2.579
ST05 ST12 -7.981 3.299
ST02 ST04 -4.264 9.683
ST02 ST05 -7.678 3.340
ST01 ST07 -11.084 6.174
ST01 ST04 -6.348 4.081
ST09 ST10 -4.866 1.739
ST09 ST12 -4.784 2.220
ST07 ST12 -6.304 2.305
ST01 ST12 -17.947 0.000
ST07 ST08 -5.285 0.000
ST05 ST08 -5.637 1.639
ST10 ST11 -6.936 307.422
ST08 ST09 3.863 16.834
ST01 ST03 0.244 2.797
ST06 ST07 -5.338 8.731
ST05 CA00 3.443 0.000
ST03 ST05 -10.156 2.272
ST01 ST06 -5.583 8.809
ST02 ST09 -9.461 2.770
ST02 ST08 -13.826 4.991
ST04 CA00 1.810 3.288
ST06 ST10 -10.683 3.291
ST10 CA00 10.870 2.620
ST01 ST02 -2.324 1.700
