39.795 142.595 14.559 STD
0.354 0.358 0.708 0.393
ST02 ST12 0.814 2.106
ST04 ST12 -8.470 4.423
ST01 ST09 -14.985 1.400
ST09 ST11 6.847 67.340
ST04 ST05 -14.839 1.570
ST06 ST09 2.050 12.181
ST01 ST08 -13.738 168.384
ST02 ST03 -1.443 8.384
ST03 ST07 12.651 17.777
ST07 ST09 -15.881 2.797
ST09 CA00 0.821 6.371
ST07 CA00 -15.460 0.000
ST02 ST07 11.165 7.546
ST07 ST10 3.162 1.422
ST11 CA00 -4.294 0.000
ST06 CA00 3.222 3.621
ST04 ST09 -14.312 3.469
ST01 ST05 -15.236 1.558
ST03 ST10 14.543 1.958
ST01 ST11 -8.993 7.947
ST01 ST10 1.832 2.217
ST01 ST06 -17.344 3.094
ST07 ST11 -8.806 8.717
ST02 ST11 2.898 1.796
ST04 ST06 -15.880 8.957
ST09 ST12 5.030 1.334
ST02 ST08 -2.867 2.913
ST08 ST09 -2.473 1.977
ST02 ST04 9.640 9.327
ST05 ST12 6.025 14.963
