39.604 142.609 14.473 STD
0.228 0.282 0.367 0.290
ST06 ST07 6.926 21.939
ST04 ST10 5.384 3.424
ST02 ST04 6.515 3.002
ST07 ST08 -11.293 0.000
ST02 ST05 -6.953 3.461
ST05 ST06 8.617 3.783
ST01 ST10 3.204 2.075
ST11 CA00 -6.015 23.952
ST01 ST05 -15.481 0.000
ST04 ST12 -0.639 2.695
ST01 ST06 -7.610 31.998
ST03 ST11 -2.267 5.822
ST10 ST12 -5.190 5.884
ST06 ST08 -6.016 1.891
ST01 ST02 -9.783 1.770
ST06 ST11 1.111 5.181
ST02 ST06 1.449 5.252
ST08 ST10 15.871 12.038
ST01 ST07 0.142 0.000
ST03 ST06 -4.216 0.000
ST03 ST04 1.536 3.164
ST05 ST12 13.954 7.582
ST03 ST10 6.826 8.476
