39.703 142.594 15.072 STD
0.299 0.376 2.012 0.349
ST07 ST08 -13.385 4.984
ST01 ST05 -15.975 3.650
ST07 CA00 -14.383 2.244
ST03 ST09 -2.574 98.128
ST02 CA00 -4.455 0.000
ST01 ST11 -8.336 2.112
ST04 ST11 -5.891 61.751
ST05 ST11 7.863 1.910
ST07 ST09 -11.649 2.094
ST10 ST12 -9.454 2.183
ST05 ST07 15.768 5.871
ST02 ST03 2.059 3.266
ST01 ST07 -0.292 53.613
ST06 ST12 6.761 2.369
ST08 ST11 5.608 40.753
ST02 ST05 -5.529 20.496
ST03 CA00 -5.615 3.504
ST10 CA00 -17.155 2.790
ST06 ST08 -0.412 3.368
ST09 ST11 3.415 4.886
ST05 ST12 9.666 7.371
ST02 ST06 -1.514 1.664
ST06 ST07 11.840 1.574
