39.894 142.595 14.347 STD
0.626 0.377 0.664 0.429
ST05 ST09 -3.909 2.096
ST08 ST12 1.013 2.109
ST05 ST08 1.201 1.821
ST02 ST10 13.857 3.054
ST03 ST09 -3.194 3.898
ST01 ST04 -1.451 12.279
ST02 ST08 -1.744 2.035
ST03 ST08 1.235 0.000
ST07 ST08 -14.230 1.454
ST01 ST07 0.048 6.580
ST03 ST11 7.068 4.075
ST06 ST08 8.999 53.449
ST03 ST05 1.107 5.833
ST08 ST09 -6.816 1.471
ST08 ST11 3.985 6.588
ST07 ST09 -20.438 1.317
ST04 ST07 1.139 3.455
ST08 ST10 16.068 3.300
ST06 ST12 9.492 15.473
ST06 ST07 22.050 1.962
ST04 ST06 -21.001 7.677
ST01 CA00 -15.256 2.220
ST12 CA00 -1.873 5.730
ST11 CA00 -4.450 1.182
