39.603 143.743 15.586 STD
0.724 2.862 1.231 0.448
ST05 ST07 0.251 4.486
ST01 ST12 -19.620 3.191
ST05 ST08 -6.903 2.075
ST02 CA00 -2.972 190.909
ST06 ST11 -16.170 2.131
ST05 ST06 2.519 15.235
ST09 ST10 -0.248 2.782
ST08 ST12 -2.516 1.239
ST02 ST06 -5.279 1.926
ST07 ST11 -13.653 2.327
ST01 ST02 -3.143 3.349
ST05 CA00 3.912 2.147
ST08 ST09 2.790 18.205
ST03 ST12 -19.202 1.502
ST01 ST11 -23.766 2.094
ST01 ST03 -0.902 2.019
ST03 ST08 -15.637 2.357
ST09 CA00 8.853 1.267
ST01 ST04 -5.996 5.227
ST05 ST11 -14.497 2.261
ST06 ST09 -6.616 2.895
