39.696 142.504 17.174 STD
0.361 0.425 0.779 0.411
ST01 ST03 -8.301 1.321
ST05 ST06 3.609 4.647
ST09 ST10 13.047 7.014
ST07 ST12 -4.387 4.827
ST01 ST07 1.457 1.999
ST06 ST12 8.400 2.505
ST05 ST12 12.510 1.460
ST04 ST11 -4.119 3.411
ST02 CA00 -3.331 6.031
ST08 ST10 15.284 11.707
ST04 ST10 4.384 0.000
ST08 ST09 0.597 0.000
ST07 ST10 4.619 0.000
ST10 CA00 -18.631 2.761
ST05 ST11 10.146 4.339
ST01 ST06 -11.419 4.562
ST11 CA00 -9.629 7.300
ST01 ST02 -10.851 1.984
ST03 ST04 8.063 3.772
ST11 ST12 0.799 1.540
ST03 ST06 -2.076 1.983
ST01 ST09 -9.617 1.759
ST08 CA00 -4.049 3.930
ST05 ST10 20.202 1.671
ST09 ST11 4.180 4.596
ST02 ST05 -3.872 4.250
ST06 ST10 16.305 1.903
ST04 CA00 -13.654 16.083
ST04 ST09 -7.338 2.221
ST03 ST09 -0.533 1.843
