39.799 142.505 14.777 STD
0.368 0.291 0.549 0.217
ST01 ST11 -6.872 3.997
ST06 ST11 10.457 3.397
ST04 CA00 -14.157 13.572
ST02 ST05 -3.365 22.249
ST06 CA00 1.699 3.372
ST05 ST07 16.442 6.691
ST07 CA00 -16.557 3.535
ST01 ST08 -11.519 2.614
ST01 ST09 -13.939 5.438
ST03 ST04 12.695 11.620
ST06 ST09 3.944 3.068
ST02 ST10 15.949 4.836
ST04 ST11 -4.748 0.000
ST07 ST08 -12.792 166.086
ST10 ST11 -10.629 3.983
ST05 ST12 7.169 0.000
ST04 ST05 -14.419 5.885
ST01 CA00 -14.751 0.000
ST07 ST12 -8.354 5.497
ST07 ST10 3.061 4.966
ST02 ST07 12.851 31.647
