39.792 142.409 14.138 STD
0.478 0.704 0.729 0.483
ST02 ST12 7.455 3.811
ST04 ST12 -4.228 4.711
ST02 ST10 18.232 5.113
ST03 ST04 15.791 0.000
ST01 ST09 -10.565 1.350
ST05 ST07 15.829 1.229
ST04 ST07 2.873 3.786
ST02 ST03 -1.246 1.331
ST06 ST07 18.278 26.311
ST06 ST08 6.790 2.034
ST01 ST07 2.822 1.266
ST06 CA00 1.032 1.218
ST07 ST12 -6.836 4.691
ST10 CA00 -21.558 3.864
ST03 ST05 -0.070 5.232
ST02 ST08 2.205 1.613
ST01 ST02 -12.458 3.615
ST08 ST11 6.372 1.388
ST11 ST12 -1.017 3.877
ST02 ST07 14.813 21.534
ST01 ST04 -0.798 4.524
ST05 CA00 -1.581 5.142
ST10 ST11 -10.482 1.085
ST05 ST10 20.076 6.122
ST02 ST05 -1.502 2.672
ST01 ST05 -14.440 5.853
ST09 CA00 -4.604 11.402
ST05 ST12 8.946 1.544
ST04 CA00 -15.493 13.776
ST05 ST09 3.985 1.471
