39.590 143.771 13.201 STD
0.696 2.583 3.785 0.397
ST05 ST10 -4.355 1.948
ST07 ST09 -2.815 2.038
ST01 ST04 -6.039 5.555
ST01 ST07 -10.847 1.840
ST03 CA00 -4.091 2.482
ST10 ST11 -9.402 11.103
ST11 CA00 17.378 0.000
ST05 CA00 4.372 37.655
ST01 ST10 -15.358 2.193
ST09 ST12 -6.747 1.630
ST05 ST08 -6.250 3.876
ST02 ST12 -16.947 8.735
ST06 ST09 -5.569 1.431
ST06 ST11 -17.316 2.254
ST07 CA00 4.577 10.947
ST04 ST09 -7.391 2.784
ST02 ST04 -2.023 0.000
ST06 ST07 -2.710 3.969
ST04 ST07 -4.339 9.474
ST12 CA00 14.477 2.706
ST03 ST06 -5.551 1.540
ST04 ST05 -4.012 6.144
