39.518 143.817 11.374 SYN
0.000 0.000 0.000 1.298
ST05 ST07 0.251 1.000
ST01 ST12 -19.620 1.000
ST05 ST08 -6.903 1.000
ST02 CA00 -2.972 1.000
ST06 ST11 -16.170 1.000
ST05 ST06 2.519 1.000
ST09 ST10 -0.248 1.000
ST08 ST12 -2.516 1.000
ST02 ST06 -5.279 1.000
ST07 ST11 -13.653 1.000
ST01 ST02 -3.143 1.000
ST05 CA00 3.912 1.000
ST08 ST09 2.790 1.000
ST03 ST12 -19.202 1.000
ST01 ST11 -23.766 1.000
ST01 ST03 -0.902 1.000
ST03 ST08 -15.637 1.000
ST09 CA00 8.853 1.000
ST01 ST04 -5.996 1.000
ST05 ST11 -14.497 1.000
ST06 ST09 -6.616 1.000
