39.626 142.599 15.969 SYN
0.000 0.000 0.000 0.903
ST06 ST07 6.926 1.000
ST04 ST10 5.384 1.000
ST02 ST04 6.515 1.000
ST07 ST08 -11.293 1.000
ST02 ST05 -6.953 1.000
ST05 ST06 8.617 1.000
ST01 ST10 3.204 1.000
ST11 CA00 -6.015 1.000
ST01 ST05 -15.481 1.000
ST04 ST12 -0.639 1.000
ST01 ST06 -7.610 1.000
ST03 ST11 -2.267 1.000
ST10 ST12 -5.190 1.000
ST06 ST08 -6.016 1.000
ST01 ST02 -9.783 1.000
ST06 ST11 1.111 1.000
ST02 ST06 1.449 1.000
ST08 ST10 15.871 1.000
ST01 ST07 0.142 1.000
ST03 ST06 -4.216 1.000
ST03 ST04 1.536 1.000
ST05 ST12 13.954 1.000
ST03 ST10 6.826 1.000
