39.579 143.662 14.621 SYN
0.000 0.000 0.000 0.662
ST05 ST10 -4.355 1.000
ST07 ST09 -2.815 1.000
ST01 ST04 -6.039 1.000
ST01 ST07 -10.847 1.000
ST03 CA00 -4.091 1.000
ST10 ST11 -9.402 1.000
ST11 CA00 17.378 1.000
ST05 CA00 4.372 1.000
ST01 ST10 -15.358 1.000
ST09 ST12 -6.747 1.000
ST05 ST08 -6.250 1.000
ST02 ST12 -16.947 1.000
ST06 ST09 -5.569 1.000
ST06 ST11 -17.316 1.000
ST07 CA00 4.577 1.000
ST04 ST09 -7.391 1.000
ST02 ST04 -2.023 1.000
ST06 ST07 -2.710 1.000
ST04 ST07 -4.339 1.000
ST12 CA00 14.477 1.000
ST03 ST06 -5.551 1.000
ST04 ST05 -4.012 1.000
