39.501 143.835 20.808 SYN
0.000 0.000 0.000 0.445
ST09 CA00 6.021 1.000
ST06 CA00 0.801 1.000
ST08 CA00 11.152 1.000
ST05 ST12 -7.981 1.000
ST02 ST04 -4.264 1.000
ST02 ST05 -7.678 1.000
ST01 ST07 -11.084 1.000
ST01 ST04 -6.348 1.000
ST09 ST10 -4.866 1.000
ST09 ST12 -4.784 1.000
ST07 ST12 -6.304 1.000
ST01 ST12 -17.947 1.000
ST07 ST08 -5.285 1.000
ST05 ST08 -5.637 1.000
ST10 ST11 -6.936 1.000
ST08 ST09 3.863 1.000
ST01 ST03 0.244 1.000
ST06 ST07 -5.338 1.000
ST05 CA00 3.443 1.000
ST03 ST05 -10.156 1.000
ST01 ST06 -5.583 1.000
ST02 ST09 -9.461 1.000
ST02 ST08 -13.826 1.000
ST04 CA00 1.810 1.000
ST06 ST10 -10.683 1.000
ST10 CA00 10.870 1.000
ST01 ST02 -2.324 1.000
