39.761 142.534 14.189 SYN
0.000 0.000 0.000 2.033
ST01 ST03 -8.301 1.000
ST05 ST06 3.609 1.000
ST09 ST10 13.047 1.000
ST07 ST12 -4.387 1.000
ST01 ST07 1.457 1.000
ST06 ST12 8.400 1.000
ST05 ST12 12.510 1.000
ST04 ST11 -4.119 1.000
ST02 CA00 -3.331 1.000
ST08 ST10 15.284 1.000
ST04 ST10 4.384 1.000
ST08 ST09 0.597 1.000
ST07 ST10 4.619 1.000
ST10 CA00 -18.631 1.000
ST05 ST11 10.146 1.000
ST01 ST06 -11.419 1.000
ST11 CA00 -9.629 1.000
ST01 ST02 -10.851 1.000
ST03 ST04 8.063 1.000
ST11 ST12 0.799 1.000
ST03 ST06 -2.076 1.000
ST01 ST09 -9.617 1.000
ST08 CA00 -4.049 1.000
ST05 ST10 20.202 1.000
ST09 ST11 4.180 1.000
ST02 ST05 -3.872 1.000
ST06 ST10 16.305 1.000
ST04 CA00 -13.654 1.000
ST04 ST09 -7.338 1.000
ST03 ST09 -0.533 1.000
