39.703 142.501 14.865 TRD
1.515 1.416 0.517 0.208
ST01 ST03 -9.187 1.000
ST05 ST06 3.656 1.000
ST09 ST10 13.535 1.000
ST07 ST12 -4.834 1.000
ST01 ST07 1.194 1.000
ST06 ST12 8.207 1.000
ST05 ST12 11.963 1.000
ST04 ST11 -3.916 1.000
ST02 CA00 -3.499 1.000
ST08 ST10 15.453 1.000
ST04 ST10 5.406 1.000
ST08 ST09 1.590 1.000
ST07 ST10 3.518 1.000
ST10 CA00 -19.297 1.000
ST05 ST11 10.420 1.000
ST01 ST06 -11.864 1.000
ST11 CA00 -9.875 1.000
ST01 ST02 -11.411 1.000
ST03 ST04 8.108 1.000
ST11 ST12 1.231 1.000
ST03 ST06 -2.469 1.000
ST01 ST09 -9.352 1.000
ST08 CA00 -3.985 1.000
ST05 ST10 20.053 1.000
ST09 ST11 4.140 1.000
ST02 ST05 -4.048 1.000
ST06 ST10 16.339 1.000
ST04 CA00 -13.773 1.000
ST04 ST09 -7.864 1.000
ST03 ST09 -0.008 1.000
