39.654 143.677 12.836 TRD
15.347 14.818 0.234 0.222
ST05 ST07 0.208 1.000
ST01 ST12 -19.815 1.000
ST05 ST08 -6.676 1.000
ST02 CA00 -2.967 1.000
ST06 ST11 -16.774 1.000
ST05 ST06 2.649 1.000
ST09 ST10 -0.443 1.000
ST08 ST12 -2.901 1.000
ST02 ST06 -4.786 1.000
ST07 ST11 -14.283 1.000
ST01 ST02 -2.952 1.000
ST05 CA00 4.285 1.000
ST08 ST09 2.935 1.000
ST03 ST12 -18.622 1.000
ST01 ST11 -24.346 1.000
ST01 ST03 -1.291 1.000
ST03 ST08 -15.511 1.000
ST09 CA00 8.192 1.000
ST01 ST04 -5.813 1.000
ST05 ST11 -14.294 1.000
ST06 ST09 -6.387 1.000
