39.707 142.598 14.812 TRD
1.520 1.336 0.238 0.249
ST07 ST08 -13.252 1.000
ST01 ST05 -16.214 1.000
ST07 CA00 -13.882 1.000
ST03 ST09 -2.693 1.000
ST02 CA00 -3.753 1.000
ST01 ST11 -8.061 1.000
ST04 ST11 -5.942 1.000
ST05 ST11 8.197 1.000
ST07 ST09 -11.181 1.000
ST10 ST12 -9.049 1.000
ST05 ST07 15.849 1.000
ST02 ST03 1.883 1.000
ST01 ST07 -0.382 1.000
ST06 ST12 6.289 1.000
ST08 ST11 5.627 1.000
ST02 ST05 -5.657 1.000
ST03 CA00 -5.456 1.000
ST10 CA00 -16.726 1.000
ST06 ST08 -0.853 1.000
ST09 ST11 3.463 1.000
ST05 ST12 9.760 1.000
ST02 ST06 -1.964 1.000
ST06 ST07 12.173 1.000
