39.571 143.906 18.420 TRD
19.303 19.127 0.236 0.297
ST09 CA00 6.707 1.000
ST06 CA00 0.824 1.000
ST08 CA00 10.973 1.000
ST05 ST12 -7.859 1.000
ST02 ST04 -4.255 1.000
ST02 ST05 -7.438 1.000
ST01 ST07 -10.881 1.000
ST01 ST04 -6.126 1.000
ST09 ST10 -4.527 1.000
ST09 ST12 -5.328 1.000
ST07 ST12 -6.217 1.000
ST01 ST12 -17.210 1.000
ST07 ST08 -4.881 1.000
ST05 ST08 -6.258 1.000
ST10 ST11 -7.289 1.000
ST08 ST09 4.012 1.000
ST01 ST03 0.481 1.000
ST06 ST07 -5.322 1.000
ST05 CA00 4.300 1.000
ST03 ST05 -9.821 1.000
ST01 ST06 -5.526 1.000
ST02 ST09 -9.687 1.000
ST02 ST08 -13.799 1.000
ST04 CA00 1.473 1.000
ST06 ST10 -10.530 1.000
ST10 CA00 11.231 1.000
ST01 ST02 -1.919 1.000
