39.902 142.597 14.810 TRD
2.178 1.638 0.458 0.241
ST05 ST09 -4.457 1.000
ST08 ST12 0.441 1.000
ST05 ST08 1.576 1.000
ST02 ST10 13.486 1.000
ST03 ST09 -3.453 1.000
ST01 ST04 -1.529 1.000
ST02 ST08 -2.214 1.000
ST03 ST08 2.443 1.000
ST07 ST08 -13.675 1.000
ST01 ST07 -0.110 1.000
ST03 ST11 6.863 1.000
ST06 ST08 8.959 1.000
ST03 ST05 1.082 1.000
ST08 ST09 -6.374 1.000
ST08 ST11 4.050 1.000
ST07 ST09 -19.928 1.000
ST04 ST07 1.347 1.000
ST08 ST10 15.794 1.000
ST06 ST12 9.296 1.000
ST06 ST07 22.398 1.000
ST04 ST06 -21.070 1.000
ST01 CA00 -14.850 1.000
ST12 CA00 -1.462 1.000
ST11 CA00 -4.992 1.000
