39.606 142.600 14.796 TRD
1.543 1.329 0.370 0.215
ST06 ST07 6.784 1.000
ST04 ST10 5.283 1.000
ST02 ST04 6.854 1.000
ST07 ST08 -11.979 1.000
ST02 ST05 -6.966 1.000
ST05 ST06 8.861 1.000
ST01 ST10 2.999 1.000
ST11 CA00 -6.331 1.000
ST01 ST05 -16.071 1.000
ST04 ST12 -0.052 1.000
ST01 ST06 -7.359 1.000
ST03 ST11 -2.243 1.000
ST10 ST12 -5.169 1.000
ST06 ST08 -5.525 1.000
ST01 ST02 -9.355 1.000
ST06 ST11 1.024 1.000
ST02 ST06 1.851 1.000
ST08 ST10 15.691 1.000
ST01 ST07 -0.409 1.000
ST03 ST06 -3.434 1.000
ST03 ST04 1.706 1.000
ST05 ST12 13.993 1.000
ST03 ST10 6.970 1.000
