39.801 142.502 14.981 TRD
1.698 1.494 0.479 0.155
ST01 ST11 -6.583 1.000
ST06 ST11 10.752 1.000
ST04 CA00 -14.254 1.000
ST02 ST05 -3.340 1.000
ST06 CA00 1.892 1.000
ST05 ST07 16.328 1.000
ST07 CA00 -16.389 1.000
ST01 ST08 -11.745 1.000
ST01 ST09 -13.737 1.000
ST03 ST04 12.861 1.000
ST06 ST09 3.709 1.000
ST02 ST10 15.864 1.000
ST04 ST11 -5.264 1.000
ST07 ST08 -12.760 1.000
ST10 ST11 -10.396 1.000
ST05 ST12 7.672 1.000
ST04 ST05 -14.268 1.000
ST01 CA00 -15.268 1.000
ST07 ST12 -8.472 1.000
ST07 ST10 2.913 1.000
ST02 ST07 12.943 1.000
