39.600 143.710 14.536 LMO
0.131 0.486 0.280 0.099
ST05 ST07 0.148 13.143
ST01 ST12 -313.251 10.486
ST05 ST08 -8.423 19.879
ST02 CA00 -1.043 639.686
ST06 ST11 -20.837 6.105
ST05 ST06 3.512 77.529
ST09 ST10 -0.591 8.108
ST08 ST12 -3.445 5.575
ST02 ST06 -298.504 6.814
ST07 ST11 -17.423 8.013
ST01 ST02 0.485 20.905
ST05 CA00 300.791 20.117
ST08 ST09 3.288 340.817
ST03 ST12 -313.972 10.165
ST01 ST11 -318.691 7.452
ST01 ST03 0.624 10.336
ST03 ST08 -310.318 14.548
ST09 CA00 306.092 6.110
ST01 ST04 -0.773 21.828
ST05 ST11 -17.494 55.219
ST06 ST09 -8.645 30.795
