39.800 142.500 12.848 LMO
0.153 0.160 0.816 0.139
ST01 ST11 -7.839 16.421
ST06 ST11 12.712 3.741
ST04 CA00 -17.228 5.847
ST02 ST05 -3.717 20.022
ST06 CA00 2.166 8.556
ST05 ST07 19.702 7.554
ST07 CA00 -19.728 9.467
ST01 ST08 -14.047 8.727
ST01 ST09 -16.528 20.449
ST03 ST04 15.787 6.236
ST06 ST09 4.133 21.052
ST02 ST10 19.886 11.063
ST04 ST11 -6.551 6.596
ST07 ST08 -15.459 16.210
ST10 ST11 -13.074 35.916
ST05 ST12 9.227 3.668
ST04 ST05 -17.278 8.211
ST01 CA00 -18.210 3.780
ST07 ST12 -10.292 23.381
ST07 ST10 3.938 34.425
ST02 ST07 15.940 7.847
