39.900 142.500 14.826 LMO
0.076 0.050 0.229 0.044
ST04 ST09 -20.287 15.300
ST02 ST12 1.944 302.189
ST06 ST11 17.295 35.486
ST03 ST08 7.136 36.005
ST07 ST09 -22.629 39.985
ST01 CA00 -18.732 43.432
ST04 CA00 -17.784 60.612
ST03 ST06 -4.660 12.882
ST05 ST11 9.299 0.000
ST05 ST06 -8.419 0.000
ST07 ST11 -10.840 0.000
ST04 ST05 -17.276 0.000
ST01 ST04 -0.951 283.599
ST01 ST11 -9.170 14.717
ST06 ST12 13.147 0.000
ST05 ST07 19.769 12.319
ST09 CA00 2.556 241.529
ST06 ST10 31.439 23.850
ST01 ST07 1.316 52.928
