39.817 142.373 24.672 LMO
0.769 1.127 2.758 0.453
ST02 ST12 9.447 3.674
ST04 ST12 -5.551 9.521
ST02 ST10 22.823 7.236
ST03 ST04 17.981 0.000
ST01 ST09 -13.535 3.994
ST05 ST07 20.032 1.707
ST04 ST07 3.279 11.623
ST02 ST03 -2.411 1.219
ST06 ST07 22.212 0.000
ST06 ST08 7.740 11.140
ST01 ST07 3.120 6.109
ST06 CA00 0.637 9.864
ST07 ST12 -8.777 4.097
ST10 CA00 -26.248 1.798
ST03 ST05 0.648 0.000
ST02 ST08 3.633 2.215
ST01 ST02 -15.302 2.565
ST08 ST11 6.921 2.562
ST11 ST12 -1.086 2.823
ST02 ST07 18.329 7.512
ST01 ST04 -0.309 4.393
ST05 CA00 -1.576 5.531
ST10 ST11 -12.435 2.738
ST05 ST10 24.692 1.321
ST02 ST05 -1.800 1.819
ST01 ST05 -17.198 0.000
ST09 CA00 -5.070 2.296
ST05 ST12 11.245 1.219
ST04 CA00 -18.520 1.466
ST05 ST09 3.686 1.237
