39.601 142.601 16.683 LMO
0.098 0.130 0.478 0.124
ST06 ST07 8.109 26.751
ST04 ST10 6.028 17.180
ST02 ST04 8.427 1504.359
ST07 ST08 -13.922 15.515
ST02 ST05 -7.369 4.920
ST05 ST06 9.618 4.216
ST01 ST10 3.571 11.138
ST11 CA00 -7.408 14.405
ST01 ST05 -18.219 7.298
ST04 ST12 0.001 14.055
ST01 ST06 -8.750 20.487
ST03 ST11 -2.372 66.416
ST10 ST12 -5.860 26.565
ST06 ST08 -6.143 4.383
ST01 ST02 -11.101 5.412
ST06 ST11 1.455 32.758
ST02 ST06 2.206 110.514
ST08 ST10 18.272 5.722
ST01 ST07 -0.475 6.470
ST03 ST06 -3.994 4.704
ST03 ST04 2.363 14.663
ST05 ST12 16.022 0.000
ST03 ST10 8.372 34.493
