39.601 142.700 9.049 LMO
0.194 0.279 1.757 0.361
ST04 CA00 -10.279 3.855
ST06 ST07 6.810 6.004
ST05 ST11 7.326 2.052
ST01 ST09 -10.014 4.233
ST07 ST09 -7.370 4.764
ST02 ST03 5.438 42.249
ST07 CA00 -11.036 4.472
ST02 CA00 -3.806 17.192
ST08 ST09 8.112 3.865
ST04 ST12 -2.070 5.591
ST05 ST12 12.831 1.633
ST05 ST06 8.918 1.927
ST05 ST10 19.100 1.543
ST03 ST05 -13.863 1.622
ST07 ST12 -2.911 16.926
ST03 ST08 -13.637 2.633
ST12 CA00 -7.801 2.047
ST11 CA00 -2.719 16.821
ST10 ST12 -6.056 4.023
ST03 ST07 1.964 33.092
ST06 ST10 9.942 2.710
ST08 ST10 18.790 2.020
