39.798 142.600 7.408 LMO
0.264 0.230 3.032 0.317
ST02 ST12 1.462 4.548
ST04 ST12 -10.366 21.891
ST01 ST09 -19.053 1.764
ST09 ST11 8.347 2.992
ST04 ST05 -17.302 3.070
ST06 ST09 2.030 8.242
ST01 ST08 -16.584 4.579
ST02 ST03 -1.939 25.029
ST03 ST07 15.450 4.822
ST07 ST09 -18.981 2.727
ST09 CA00 1.493 5.921
ST07 CA00 -17.569 8.556
ST02 ST07 13.502 5.668
ST07 ST10 3.416 7.600
ST11 CA00 -6.508 1.956
ST06 CA00 3.593 4.541
ST04 ST09 -17.369 2.539
ST01 ST05 -18.932 1.809
ST03 ST10 18.611 3.023
ST01 ST11 -10.877 16.226
ST01 ST10 2.898 8.750
ST01 ST06 -21.145 1.597
ST07 ST11 -10.588 12.738
ST02 ST11 3.021 109.983
ST04 ST06 -19.302 1.633
ST09 ST12 6.841 1.960
ST02 ST08 -2.889 26.929
ST08 ST09 -2.715 9.758
ST02 ST04 11.898 5.114
ST05 ST12 6.868 2.873
