39.600 142.498 10.126 LMO
0.066 0.075 0.955 0.083
ST02 ST12 13.103 0.000
ST05 CA00 1.786 8.500
ST10 CA00 -22.221 0.000
ST01 ST07 1.615 20.504
ST03 ST10 11.650 9.521
ST02 ST05 -5.242 0.000
ST01 ST11 -3.459 13.366
ST03 ST11 1.781 306.715
ST07 ST09 -6.644 0.000
ST07 CA00 -17.371 0.000
ST04 ST12 2.255 12.147
ST09 ST10 11.655 18.665
ST08 ST10 17.436 0.000
ST03 ST08 -6.094 113.382
ST07 ST12 -0.748 9.413
ST02 ST10 18.451 0.000
ST08 CA00 -4.649 0.000
ST06 ST09 2.528 134.083
ST04 ST11 -2.257 7.351
ST07 ST10 4.894 42.963
ST02 ST08 0.846 0.000
ST02 CA00 -3.738 7.376
ST05 ST09 12.402 0.000
ST03 ST06 -2.425 20.372
ST03 ST12 6.118 8.029
ST01 ST05 -17.479 0.000
ST01 ST03 -5.297 47.446
ST05 ST07 18.963 0.000
