39.700 142.500 13.391 LMO
0.100 0.160 0.666 0.167
ST01 ST03 -11.022 3.755
ST05 ST06 3.946 9.482
ST09 ST10 16.662 5.395
ST07 ST12 -5.561 8.803
ST01 ST07 1.478 16.826
ST06 ST12 9.963 24.832
ST05 ST12 14.010 22.357
ST04 ST11 -4.711 31.873
ST02 CA00 -3.767 10.333
ST08 ST10 18.713 8.544
ST04 ST10 6.735 3.814
ST08 ST09 1.723 3.851
ST07 ST10 4.604 3.726
ST10 CA00 -23.113 3.087
ST05 ST11 12.155 4.289
ST01 ST06 -14.065 5.147
ST11 CA00 -11.567 5.179
ST01 ST02 -13.590 4.368
ST03 ST04 9.983 16.049
ST11 ST12 1.541 7.962
ST03 ST06 -2.834 7.299
ST01 ST09 -11.109 63.196
ST08 CA00 -4.540 14.953
ST05 ST10 23.912 6.538
ST09 ST11 5.143 36.295
ST02 ST05 -4.360 7.587
ST06 ST10 19.908 9.479
ST04 CA00 -16.259 5.533
ST04 ST09 -9.662 5.314
ST03 ST09 0.069 7.928
