39.898 142.600 14.719 LMO
0.122 0.080 0.430 0.095
ST05 ST09 -5.096 15.057
ST08 ST12 0.556 14.008
ST05 ST08 2.009 9.872
ST02 ST10 17.323 10.256
ST03 ST09 -3.815 12.116
ST01 ST04 -1.660 41.893
ST02 ST08 -2.363 7.648
ST03 ST08 3.153 0.000
ST07 ST08 -16.906 7.435
ST01 ST07 -0.144 22.686
ST03 ST11 8.389 8.829
ST06 ST08 10.090 13.540
ST03 ST05 1.358 10.738
ST08 ST09 -7.446 5.771
ST08 ST11 4.867 29.793
ST07 ST09 -24.230 5.382
ST04 ST07 1.444 19.309
ST08 ST10 19.779 16.734
ST06 ST12 10.542 24.249
ST06 ST07 26.761 37.538
ST04 ST06 -25.334 23.725
ST01 CA00 -18.378 10.002
ST12 CA00 -1.842 25.682
ST11 CA00 -6.073 6.849
