39.496 143.925 34.079 LMO
16.469 93.043 61.226 11.206
ST09 CA00 301.643 0.062
ST06 CA00 -0.777 1959.594
ST08 CA00 306.890 0.056
ST05 ST12 -10.133 0.681
ST02 ST04 -1.262 54.349
ST02 ST05 -299.488 0.062
ST01 ST07 -301.365 0.062
ST01 ST04 -0.783 39.710
ST09 ST10 -5.895 0.967
ST09 ST12 -6.539 1.098
ST07 ST12 -7.705 0.804
ST01 ST12 -309.182 0.057
ST07 ST08 -6.140 0.587
ST05 ST08 -8.303 0.601
ST10 ST11 -8.433 0.415
ST08 ST09 4.993 0.720
ST01 ST03 0.468 23.018
ST06 ST07 -301.581 0.062
ST05 CA00 298.172 0.063
ST03 ST05 -299.506 0.062
ST01 ST06 0.249 279.138
ST02 ST09 -302.799 0.061
ST02 ST08 -307.893 0.056
ST04 CA00 0.303 14.474
ST06 ST10 -308.434 0.058
ST10 CA00 307.534 0.058
ST01 ST02 0.432 11.040
