39.701 142.599 13.999 LMO
0.038 0.041 0.252 0.039
ST07 ST08 -15.541 36.479
ST01 ST05 -18.861 0.000
ST07 CA00 -16.284 127.481
ST03 ST09 -3.094 46.648
ST02 CA00 -4.110 0.000
ST01 ST11 -9.378 15.629
ST04 ST11 -7.146 30.419
ST05 ST11 9.528 0.000
ST07 ST09 -13.293 4313.811
ST10 ST12 -10.798 27.230
ST05 ST07 18.463 0.000
ST02 ST03 2.215 13.238
ST01 ST07 -0.415 5740.750
ST06 ST12 7.652 43.258
ST08 ST11 6.631 25.926
ST02 ST05 -6.227 14.533
ST03 CA00 -6.146 20.991
ST10 CA00 -19.925 62.745
ST06 ST08 -0.826 58.699
ST09 ST11 4.292 0.000
ST05 ST12 11.422 0.000
ST02 ST06 -2.236 0.000
ST06 ST07 14.489 0.000
