2000-01-01T00:00:00,39.8,143.5,15,0,0,0,0,SYN,dat-syn/000101.000000
2000-01-01T01:00:00,39.8,143.6,15,0,0,0,0,SYN,dat-syn/000101.010000
2000-01-01T02:00:00,39.8,143.7,15,0,0,0,0,SYN,dat-syn/000101.020000
2000-01-01T03:00:00,39.8,143.8,15,0,0,0,0,SYN,dat-syn/000101.030000
2000-01-01T04:00:00,39.9,143.5,15,0,0,0,0,SYN,dat-syn/000101.040000
2000-01-01T05:00:00,39.9,143.6,15,0,0,0,0,SYN,dat-syn/000101.050000
2000-01-01T06:00:00,39.9,143.7,15,0,0,0,0,SYN,dat-syn/000101.060000
2000-01-01T07:00:00,39.9,143.8,15,0,0,0,0,SYN,dat-syn/000101.070000
2000-01-01T08:00:00,40.0,143.5,15,0,0,0,0,SYN,dat-syn/000101.080000
2000-01-01T09:00:00,40.0,143.6,15,0,0,0,0,SYN,dat-syn/000101.090000
2000-01-01T10:00:00,40.0,143.7,15,0,0,0,0,SYN,dat-syn/000101.100000
2000-01-01T11:00:00,40.0,143.8,15,0,0,0,0,SYN,dat-syn/000101.110000
2000-01-01T12:00:00,40.1,143.5,15,0,0,0,0,SYN,dat-syn/000101.120000
2000-01-01T13:00:00,40.1,143.6,15,0,0,0,0,SYN,dat-syn/000101.130000
2000-01-01T14:00:00,40.1,143.7,15,0,0,0,0,SYN,dat-syn/000101.140000
2000-01-01T15:00:00,40.1,143.8,15,0,0,0,0,SYN,dat-syn/000101.150000
2000-01-01T16:00:00,40.2,143.5,15,0,0,0,0,SYN,dat-syn/000101.160000
2000-01-01T17:00:00,40.2,143.6,15,0,0,0,0,SYN,dat-syn/000101.170000
2000-01-01T18:00:00,40.2,143.7,15,0,0,0,0,SYN,dat-syn/000101.180000
2000-01-01T19:00:00,40.2,143.8,15,0,0,0,0,SYN,dat-syn/000101.190000
