39.601 142.605 16.708 MCMC
0.408 0.611 0.218 0.171
ST06 ST07 8.109 14.672
ST04 ST10 6.028 7.426
ST02 ST04 8.427 12.827
ST07 ST08 -13.922 8.480
ST02 ST05 -7.369 6.754
ST05 ST06 9.618 3.643
ST01 ST10 3.571 4.907
ST11 CA00 -7.408 3.804
ST01 ST05 -18.219 8.137
ST04 ST12 0.001 29.770
ST01 ST06 -8.750 387.162
ST03 ST11 -2.372 7.188
ST10 ST12 -5.860 15.166
ST06 ST08 -6.143 6.948
ST01 ST02 -11.101 4.428
ST06 ST11 1.455 7.446
ST02 ST06 2.206 11.990
ST08 ST10 18.272 6.530
ST01 ST07 -0.475 4.224
ST03 ST06 -3.994 6.166
ST03 ST04 2.363 31.628
ST05 ST12 16.022 2.063
ST03 ST10 8.372 11.900
