39.600 142.502 14.713 MCMC
0.296 0.505 0.575 0.103
ST02 ST12 13.103 9.413
ST05 CA00 1.786 12.593
ST10 CA00 -22.221 21.473
ST01 ST07 1.615 6.349
ST03 ST10 11.650 7.375
ST02 ST05 -5.242 7.215
ST01 ST11 -3.459 5.243
ST03 ST11 1.781 5.030
ST07 ST09 -6.644 10.771
ST07 CA00 -17.371 46.394
ST04 ST12 2.255 615.057
ST09 ST10 11.655 10.733
ST08 ST10 17.436 4.420
ST03 ST08 -6.094 18.571
ST07 ST12 -0.748 14.427
ST02 ST10 18.451 20.231
ST08 CA00 -4.649 7.309
ST06 ST09 2.528 9.855
ST04 ST11 -2.257 11.751
ST07 ST10 4.894 14.489
ST02 ST08 0.846 127.947
ST02 CA00 -3.738 15.625
ST05 ST09 12.402 12.076
ST03 ST06 -2.425 20.426
ST03 ST12 6.118 9.322
ST01 ST05 -17.479 8.365
ST01 ST03 -5.297 15.365
ST05 ST07 18.963 10.748
