39.695 142.512 13.510 MCMC
0.588 0.277 0.911 0.243
ST01 ST03 -11.022 10.727
ST05 ST06 3.946 2.539
ST09 ST10 16.662 23.536
ST07 ST12 -5.561 23.303
ST01 ST07 1.478 3.607
ST06 ST12 9.963 3.428
ST05 ST12 14.010 832.507
ST04 ST11 -4.711 6.753
ST02 CA00 -3.767 8.744
ST08 ST10 18.713 7.562
ST04 ST10 6.735 9.103
ST08 ST09 1.723 1.989
ST07 ST10 4.604 3.104
ST10 CA00 -23.113 8.490
ST05 ST11 12.155 26.308
ST01 ST06 -14.065 106.132
ST11 CA00 -11.567 3.627
ST01 ST02 -13.590 24.258
ST03 ST04 9.983 2.401
ST11 ST12 1.541 3.608
ST03 ST06 -2.834 3.209
ST01 ST09 -11.109 35.849
ST08 CA00 -4.540 2.564
ST05 ST10 23.912 66.424
ST09 ST11 5.143 4.397
ST02 ST05 -4.360 2.363
ST06 ST10 19.908 2.849
ST04 CA00 -16.259 9.205
ST04 ST09 -9.662 8.876
ST03 ST09 0.069 3.609
