39.904 142.497 16.905 MCMC
0.315 0.689 0.306 0.167
ST04 ST09 -20.287 198.482
ST02 ST12 1.944 15.143
ST06 ST11 17.295 7.054
ST03 ST08 7.136 6.056
ST07 ST09 -22.629 14.366
ST01 CA00 -18.732 16.143
ST04 CA00 -17.784 19.560
ST03 ST06 -4.660 2.941
ST05 ST11 9.299 4.366
ST05 ST06 -8.419 2.979
ST07 ST11 -10.840 3.082
ST04 ST05 -17.276 23.743
ST01 ST04 -0.951 72.351
ST01 ST11 -9.170 65.194
ST06 ST12 13.147 19.989
ST05 ST07 19.769 5.449
ST09 CA00 2.556 316.090
ST06 ST10 31.439 4.294
ST01 ST07 1.316 70.553
