39.601 142.703 16.806 MCMC
0.118 0.442 0.073 0.229
ST04 CA00 -10.279 5.917
ST06 ST07 6.810 17.891
ST05 ST11 7.326 2.525
ST01 ST09 -10.014 11.148
ST07 ST09 -7.370 109.971
ST02 ST03 5.438 5.545
ST07 CA00 -11.036 4.547
ST02 CA00 -3.806 14.577
ST08 ST09 8.112 3.829
ST04 ST12 -2.070 4.173
ST05 ST12 12.831 2.302
ST05 ST06 8.918 3.848
ST05 ST10 19.100 2.407
ST03 ST05 -13.863 3.679
ST07 ST12 -2.911 9.552
ST03 ST08 -13.637 4.385
ST12 CA00 -7.801 1581.531
ST11 CA00 -2.719 2.597
ST10 ST12 -6.056 4.309
ST03 ST07 1.964 6.994
ST06 ST10 9.942 11.833
ST08 ST10 18.790 3.477
