39.696 142.596 13.101 MCMC
0.641 0.077 0.262 0.196
ST07 ST08 -15.541 165.256
ST01 ST05 -18.861 4.198
ST07 CA00 -16.284 18.775
ST03 ST09 -3.094 14.171
ST02 CA00 -4.110 7.457
ST01 ST11 -9.378 4.189
ST04 ST11 -7.146 7.719
ST05 ST11 9.528 2.315
ST07 ST09 -13.293 3.534
ST10 ST12 -10.798 3.486
ST05 ST07 18.463 3.754
ST02 ST03 2.215 6.260
ST01 ST07 -0.415 22.133
ST06 ST12 7.652 40.572
ST08 ST11 6.631 7.434
ST02 ST05 -6.227 7.092
ST03 CA00 -6.146 4.886
ST10 CA00 -19.925 8.206
ST06 ST08 -0.826 4.333
ST09 ST11 4.292 19.458
ST05 ST12 11.422 1.977
ST02 ST06 -2.236 8.389
ST06 ST07 14.489 92.237
