39.804 142.389 16.369 MCMC
0.398 0.783 2.080 0.187
ST02 ST12 9.447 4.248
ST04 ST12 -5.551 27.674
ST02 ST10 22.823 5.398
ST03 ST04 17.981 29.366
ST01 ST09 -13.535 43.720
ST05 ST07 20.032 12.391
ST04 ST07 3.279 37.269
ST02 ST03 -2.411 2.458
ST06 ST07 22.212 12.685
ST06 ST08 7.740 9.017
ST01 ST07 3.120 56.617
ST06 CA00 0.637 6.832
ST07 ST12 -8.777 22.885
ST10 CA00 -26.248 17.439
ST03 ST05 0.648 1.785
ST02 ST08 3.633 2.325
ST01 ST02 -15.302 15.762
ST08 ST11 6.921 6.292
ST11 ST12 -1.086 17.594
ST02 ST07 18.329 5.744
ST01 ST04 -0.309 7.101
ST05 CA00 -1.576 8.969
ST10 ST11 -12.435 3.968
ST05 ST10 24.692 13.487
ST02 ST05 -1.800 5.252
ST01 ST05 -17.198 4.485
ST09 CA00 -5.070 12.437
ST05 ST12 11.245 21.272
ST04 CA00 -18.520 39.009
ST05 ST09 3.686 4.483
