39.605 143.801 14.884 MCMC
0.825 0.831 0.477 0.162
ST05 ST10 -6.707 38.828
ST07 ST09 -4.770 3.000
ST01 ST04 -0.762 28.725
ST01 ST07 -299.350 5.603
ST03 CA00 -0.978 17.284
ST10 ST11 -10.806 16.552
ST11 CA00 315.596 5.007
ST05 CA00 298.233 66.484
ST01 ST10 -305.640 4.948
ST09 ST12 -7.352 10.847
ST05 ST08 -8.371 80.507
ST02 ST12 -311.856 4.730
ST06 ST09 -8.606 5.813
ST06 ST11 -21.061 3.946
ST07 CA00 298.723 16.643
ST04 ST09 -303.312 4.244
ST02 ST04 -1.035 4.444
ST06 ST07 -3.827 6.569
ST04 ST07 -298.494 20.132
ST12 CA00 310.913 8.849
ST03 ST06 -295.793 4.329
ST04 ST05 -297.980 20.220
