39.793 142.591 11.519 MCMC
0.444 1.204 0.148 0.305
ST02 ST12 1.462 1.407
ST04 ST12 -10.366 2.136
ST01 ST09 -19.053 6.412
ST09 ST11 8.347 73.677
ST04 ST05 -17.302 8.397
ST06 ST09 2.030 4.894
ST01 ST08 -16.584 9.607
ST02 ST03 -1.939 5.874
ST03 ST07 15.450 16.760
ST07 ST09 -18.981 4.236
ST09 CA00 1.493 2.225
ST07 CA00 -17.569 7.558
ST02 ST07 13.502 4.186
ST07 ST10 3.416 16.856
ST11 CA00 -6.508 1.279
ST06 CA00 3.593 3.174
ST04 ST09 -17.369 3.400
ST01 ST05 -18.932 3.213
ST03 ST10 18.611 3.916
ST01 ST11 -10.877 3.191
ST01 ST10 2.898 3.262
ST01 ST06 -21.145 73.355
ST07 ST11 -10.588 5.666
ST02 ST11 3.021 3.242
ST04 ST06 -19.302 138.839
ST09 ST12 6.841 2.976
ST02 ST08 -2.889 3.310
ST08 ST09 -2.715 3.357
ST02 ST04 11.898 5.785
ST05 ST12 6.868 1.526
