39.595 143.769 11.701 MCMC
0.634 0.254 0.355 0.260
ST05 ST07 0.148 1.841
ST01 ST12 -313.251 4.822
ST05 ST08 -8.423 60.567
ST02 CA00 -1.043 639.686
ST06 ST11 -20.837 3.250
ST05 ST06 3.512 53.308
ST09 ST10 -0.591 1.286
ST08 ST12 -3.445 1.987
ST02 ST06 -298.504 2.773
ST07 ST11 -17.423 5.999
ST01 ST02 0.485 20.905
ST05 CA00 300.791 5.105
ST08 ST09 3.288 8.481
ST03 ST12 -313.972 73.396
ST01 ST11 -318.691 15.578
ST01 ST03 0.624 10.336
ST03 ST08 -310.318 3.565
ST09 CA00 306.092 3.839
ST01 ST04 -0.773 21.828
ST05 ST11 -17.494 6.350
ST06 ST09 -8.645 11.815
