39.793 142.505 14.858 MCMC
0.870 0.612 1.225 0.193
ST01 ST11 -7.839 37.083
ST06 ST11 12.712 2.887
ST04 CA00 -17.228 11.150
ST02 ST05 -3.717 7.586
ST06 CA00 2.166 3.761
ST05 ST07 19.702 17.132
ST07 CA00 -19.728 5.394
ST01 ST08 -14.047 7.491
ST01 ST09 -16.528 3.815
ST03 ST04 15.787 2.244
ST06 ST09 4.133 4.520
ST02 ST10 19.886 5.181
ST04 ST11 -6.551 8.209
ST07 ST08 -15.459 74.410
ST10 ST11 -13.074 10.129
ST05 ST12 9.227 3.067
ST04 ST05 -17.278 25.860
ST01 CA00 -18.210 14.807
ST07 ST12 -10.292 4.965
ST07 ST10 3.938 25.101
ST02 ST07 15.940 6.888
