39.583 142.475 11.496 TRD
1.990 1.687 0.005 1.939
ST02 ST12 11.106 1.000
ST05 CA00 2.359 1.000
ST10 CA00 -19.139 1.000
ST01 ST07 1.815 1.000
ST03 ST10 9.909 1.000
ST02 ST05 -4.867 1.000
ST01 ST11 -2.566 1.000
ST03 ST11 1.762 1.000
ST07 ST09 -5.152 1.000
ST07 CA00 -15.098 1.000
ST04 ST12 1.750 1.000
ST09 ST10 9.995 1.000
ST08 ST10 13.902 1.000
ST03 ST08 -5.535 1.000
ST07 ST12 -1.167 1.000
ST02 ST10 15.061 1.000
ST08 CA00 -4.556 1.000
ST06 ST09 2.454 1.000
ST04 ST11 -2.395 1.000
ST07 ST10 4.262 1.000
ST02 ST08 0.315 1.000
ST02 CA00 -3.921 1.000
ST05 ST09 11.754 1.000
ST03 ST06 -1.999 1.000
ST03 ST12 5.034 1.000
ST01 ST05 -15.327 1.000
ST01 ST03 -4.615 1.000
ST05 ST07 16.492 1.000
