39.591 142.712 12.090 TRD
1.602 1.056 0.009 4.519
ST04 CA00 -8.772 1.000
ST06 ST07 5.844 1.000
ST05 ST11 6.786 1.000
ST01 ST09 -8.378 1.000
ST07 ST09 -6.261 1.000
ST02 ST03 4.862 1.000
ST07 CA00 -9.691 1.000
ST02 CA00 -3.587 1.000
ST08 ST09 7.648 1.000
ST04 ST12 -1.328 1.000
ST05 ST12 11.258 1.000
ST05 ST06 8.010 1.000
ST05 ST10 16.953 1.000
ST03 ST05 -12.253 1.000
ST07 ST12 -2.664 1.000
ST03 ST08 -12.402 1.000
ST12 CA00 -5.403 1.000
ST11 CA00 -3.044 1.000
ST10 ST12 -4.631 1.000
ST03 ST07 2.100 1.000
ST06 ST10 7.745 1.000
ST08 ST10 16.685 1.000
