39.655 142.598 14.460 TRD
1.547 1.037 0.004 1.089
ST07 ST08 -13.385 1.000
ST01 ST05 -15.975 1.000
ST07 CA00 -14.383 1.000
ST03 ST09 -2.574 1.000
ST02 CA00 -4.455 1.000
ST01 ST11 -8.336 1.000
ST04 ST11 -5.891 1.000
ST05 ST11 7.863 1.000
ST07 ST09 -11.649 1.000
ST10 ST12 -9.454 1.000
ST05 ST07 15.768 1.000
ST02 ST03 2.059 1.000
ST01 ST07 -0.292 1.000
ST06 ST12 6.761 1.000
ST08 ST11 5.608 1.000
ST02 ST05 -5.529 1.000
ST03 CA00 -5.615 1.000
ST10 CA00 -17.155 1.000
ST06 ST08 -0.412 1.000
ST09 ST11 3.415 1.000
ST05 ST12 9.666 1.000
ST02 ST06 -1.514 1.000
ST06 ST07 11.840 1.000
