39.739 142.675 11.107 TRD
1.379 1.242 0.000 2.085
ST02 ST12 0.814 1.000
ST04 ST12 -8.470 1.000
ST01 ST09 -14.985 1.000
ST09 ST11 6.847 1.000
ST04 ST05 -14.839 1.000
ST06 ST09 2.050 1.000
ST01 ST08 -13.738 1.000
ST02 ST03 -1.443 1.000
ST03 ST07 12.651 1.000
ST07 ST09 -15.881 1.000
ST09 CA00 0.821 1.000
ST07 CA00 -15.460 1.000
ST02 ST07 11.165 1.000
ST07 ST10 3.162 1.000
ST11 CA00 -4.294 1.000
ST06 CA00 3.222 1.000
ST04 ST09 -14.312 1.000
ST01 ST05 -15.236 1.000
ST03 ST10 14.543 1.000
ST01 ST11 -8.993 1.000
ST01 ST10 1.832 1.000
ST01 ST06 -17.344 1.000
ST07 ST11 -8.806 1.000
ST02 ST11 2.898 1.000
ST04 ST06 -15.880 1.000
ST09 ST12 5.030 1.000
ST02 ST08 -2.867 1.000
ST08 ST09 -2.473 1.000
ST02 ST04 9.640 1.000
ST05 ST12 6.025 1.000
