39.831 143.338 22.003 SYN
0.000 0.000 0.000 0.516
ML29 ML31 3.060 1.000
ML08 ML17 1.716 1.000
ML18 ML38 -0.056 1.000
ML06 ML08 1.107 1.000
ML30 ML37 4.930 1.000
ML29 ML39 5.802 1.000
ML19 ML21 5.332 1.000
ML06 ML09 5.771 1.000
ML06 ML21 1.421 1.000
ML06 ML28 -0.944 1.000
ML17 ML20 -5.422 1.000
ML20 ML29 -1.526 1.000
ML08 ML38 -2.934 1.000
ML07 ML30 -5.206 1.000
ML06 ML30 -5.547 1.000
ML18 ML30 -3.939 1.000
ML06 ML37 -0.829 1.000
ML30 ML39 7.496 1.000
ML18 ML21 3.203 1.000
ML30 ML38 3.952 1.000
ML09 ML37 -6.420 1.000
ML07 ML29 -3.779 1.000
ML06 ML07 -0.401 1.000
ML17 ML38 -4.698 1.000
ML19 ML29 -0.183 1.000
ML21 ML28 -2.229 1.000
ML09 ML39 -4.097 1.000
ML09 ML21 -4.140 1.000
ML17 ML30 -8.696 1.000
ML07 ML21 1.745 1.000
ML29 ML38 2.411 1.000
ML17 ML31 -4.021 1.000
ML08 ML09 4.204 1.000
ML18 ML37 0.757 1.000
ML20 ML38 0.722 1.000
ML06 ML17 3.032 1.000
ML06 ML20 -2.283 1.000
ML09 ML29 -9.917 1.000
ML08 ML29 -5.292 1.000
ML06 ML39 1.709 1.000
ML19 ML38 2.366 1.000
ML19 ML37 2.953 1.000
ML08 ML39 0.463 1.000
ML06 ML29 -4.139 1.000
ML17 ML28 -3.956 1.000
ML28 ML37 0.197 1.000
