39.839 143.259 22.340 SYN
0.000 0.000 0.000 0.735
ML07 ML29 -5.462 1.000
ML19 ML39 3.528 1.000
ML06 ML08 1.077 1.000
ML18 ML28 -0.039 1.000
ML17 ML21 -0.975 1.000
ML18 ML38 -2.497 1.000
ML08 ML38 -5.691 1.000
ML07 ML18 -1.947 1.000
ML06 ML07 -0.243 1.000
ML21 ML39 -1.483 1.000
ML37 ML39 3.175 1.000
ML06 ML31 -2.141 1.000
ML09 ML39 -5.762 1.000
ML17 ML37 -5.612 1.000
ML19 ML21 4.948 1.000
ML18 ML21 3.244 1.000
ML06 ML19 -4.179 1.000
ML06 ML21 0.907 1.000
ML08 ML20 -3.766 1.000
ML06 ML28 -2.501 1.000
ML28 ML31 0.224 1.000
ML20 ML37 -0.844 1.000
ML17 ML38 -6.483 1.000
ML07 ML28 -2.440 1.000
ML09 ML38 -9.880 1.000
ML21 ML30 -7.902 1.000
