39.764 143.266 17.334 SYN
0.000 0.000 0.000 0.320
ML30 ML37 2.246 1.000
ML17 ML21 1.368 1.000
ML18 ML30 -2.525 1.000
ML31 ML37 -3.021 1.000
ML28 ML29 -2.585 1.000
ML31 ML39 2.096 1.000
ML30 ML38 2.648 1.000
ML06 ML19 -3.576 1.000
ML21 ML39 -0.763 1.000
ML29 ML38 2.781 1.000
ML19 ML21 6.384 1.000
ML08 ML29 -8.016 1.000
ML19 ML30 -1.586 1.000
ML08 ML19 -6.036 1.000
ML31 ML38 -2.778 1.000
ML20 ML31 1.382 1.000
ML18 ML37 -0.252 1.000
ML21 ML31 -2.895 1.000
ML17 ML30 -6.625 1.000
ML18 ML38 0.111 1.000
ML07 ML38 -3.045 1.000
ML17 ML38 -3.981 1.000
ML38 ML39 4.731 1.000
ML17 ML37 -4.251 1.000
ML09 ML17 -5.605 1.000
ML19 ML31 3.537 1.000
ML28 ML30 -2.039 1.000
ML20 ML21 4.175 1.000
ML19 ML20 2.434 1.000
ML17 ML28 -4.098 1.000
ML19 ML38 0.905 1.000
ML09 ML38 -9.760 1.000
ML09 ML37 -9.904 1.000
ML18 ML21 5.450 1.000
ML21 ML38 -5.480 1.000
ML07 ML19 -4.154 1.000
ML20 ML29 -4.326 1.000
ML08 ML20 -3.758 1.000
ML29 ML39 7.495 1.000
