39.733 143.389 17.827 SYN
0.000 0.000 0.000 0.344
ML09 ML21 -3.842 1.000
ML30 ML37 3.163 1.000
ML08 ML18 -5.948 1.000
ML19 ML39 8.353 1.000
ML21 ML30 -7.543 1.000
ML31 ML37 -2.445 1.000
ML08 ML09 4.952 1.000
ML19 ML29 -0.735 1.000
ML18 ML38 3.307 1.000
ML21 ML37 -4.549 1.000
ML28 ML29 -2.021 1.000
ML19 ML38 3.937 1.000
ML07 ML29 -4.631 1.000
ML18 ML37 2.266 1.000
ML28 ML38 2.647 1.000
ML06 ML30 -2.954 1.000
ML18 ML30 -0.462 1.000
ML17 ML30 -4.915 1.000
ML09 ML29 -11.978 1.000
ML08 ML37 -3.396 1.000
ML28 ML37 1.728 1.000
ML21 ML28 -6.363 1.000
ML20 ML37 -0.024 1.000
ML21 ML29 -8.190 1.000
ML07 ML31 1.573 1.000
ML08 ML17 -1.627 1.000
ML18 ML39 7.644 1.000
ML38 ML39 4.307 1.000
ML17 ML31 0.486 1.000
ML06 ML08 3.531 1.000
ML19 ML31 5.500 1.000
ML18 ML28 0.593 1.000
ML06 ML18 -2.390 1.000
ML17 ML20 -1.567 1.000
ML09 ML39 -3.256 1.000
ML20 ML38 0.985 1.000
ML06 ML38 0.906 1.000
ML07 ML28 -2.755 1.000
ML09 ML19 -11.558 1.000
