39.846 143.362 14.132 SYN
0.000 0.000 0.000 0.861
ML07 ML39 1.853 1.000
ML08 ML29 -3.025 1.000
ML09 ML30 -10.106 1.000
ML07 ML09 5.303 1.000
ML06 ML31 -2.668 1.000
ML29 ML30 -3.170 1.000
ML38 ML39 2.251 1.000
ML06 ML39 0.753 1.000
ML20 ML39 4.592 1.000
ML06 ML17 3.904 1.000
ML08 ML28 0.450 1.000
ML20 ML28 4.240 1.000
ML17 ML29 -7.156 1.000
ML31 ML39 3.340 1.000
ML19 ML21 3.710 1.000
ML18 ML30 -5.159 1.000
ML19 ML39 4.842 1.000
ML20 ML38 2.214 1.000
ML06 ML28 0.385 1.000
ML09 ML19 -7.990 1.000
ML08 ML30 -6.197 1.000
ML21 ML38 -1.325 1.000
ML28 ML30 -6.783 1.000
ML06 ML21 -0.185 1.000
ML17 ML18 -4.734 1.000
ML20 ML31 1.220 1.000
ML09 ML37 -3.754 1.000
ML07 ML20 -2.655 1.000
ML18 ML38 -0.802 1.000
ML20 ML29 0.693 1.000
ML06 ML07 -1.134 1.000
ML17 ML39 -3.311 1.000
ML21 ML29 -2.652 1.000
ML07 ML17 5.115 1.000
ML17 ML20 -8.025 1.000
ML19 ML37 4.525 1.000
ML19 ML20 0.184 1.000
ML17 ML21 -4.486 1.000
ML18 ML19 -3.318 1.000
ML09 ML20 -7.746 1.000
ML17 ML37 -3.561 1.000
ML37 ML39 0.349 1.000
ML07 ML37 1.458 1.000
ML07 ML19 -2.772 1.000
