39.772 143.317 24.496 SYN
0.000 0.000 0.000 0.579
ML19 ML30 -2.115 1.000
ML19 ML38 0.438 1.000
ML18 ML39 3.668 1.000
ML09 ML17 -4.348 1.000
ML07 ML09 6.202 1.000
ML07 ML20 -2.181 1.000
ML17 ML39 -0.659 1.000
ML30 ML38 2.862 1.000
ML20 ML21 3.903 1.000
ML09 ML18 -8.543 1.000
ML08 ML20 -3.681 1.000
ML08 ML18 -4.090 1.000
ML18 ML30 -3.360 1.000
ML09 ML37 -8.960 1.000
ML28 ML31 1.635 1.000
ML06 ML29 -5.358 1.000
ML30 ML39 7.009 1.000
ML19 ML20 1.834 1.000
ML08 ML21 0.179 1.000
ML38 ML39 4.335 1.000
ML06 ML38 -3.055 1.000
ML21 ML28 -4.415 1.000
ML30 ML31 4.831 1.000
ML18 ML28 0.050 1.000
ML09 ML31 -7.000 1.000
ML07 ML28 -2.595 1.000
ML08 ML28 -4.438 1.000
ML09 ML29 -11.392 1.000
ML09 ML21 -4.117 1.000
ML20 ML37 -0.948 1.000
ML07 ML30 -6.136 1.000
ML07 ML37 -2.980 1.000
ML29 ML39 6.417 1.000
ML09 ML39 -5.052 1.000
ML17 ML30 -7.750 1.000
ML18 ML20 0.627 1.000
ML21 ML29 -7.311 1.000
ML07 ML21 1.759 1.000
ML19 ML28 1.440 1.000
ML06 ML39 0.917 1.000
ML17 ML28 -4.336 1.000
ML06 ML37 -2.732 1.000
ML28 ML37 -0.390 1.000
ML31 ML39 1.951 1.000
