39.734 143.315 16.638 SYN
0.000 0.000 0.000 0.296
ML07 ML37 -3.010 1.000
ML08 ML39 0.385 1.000
ML17 ML28 -4.166 1.000
ML06 ML29 -4.959 1.000
ML18 ML21 6.622 1.000
ML09 ML30 -11.836 1.000
ML07 ML17 0.453 1.000
ML19 ML20 3.010 1.000
ML06 ML39 3.776 1.000
ML08 ML19 -6.407 1.000
ML06 ML19 -3.356 1.000
ML19 ML28 0.277 1.000
ML18 ML28 -0.096 1.000
ML21 ML30 -7.960 1.000
ML06 ML31 1.276 1.000
ML17 ML19 -4.403 1.000
ML07 ML31 0.357 1.000
ML19 ML30 -0.806 1.000
ML19 ML21 7.233 1.000
ML19 ML37 1.077 1.000
ML21 ML31 -2.614 1.000
ML31 ML39 2.241 1.000
ML18 ML38 1.811 1.000
ML09 ML28 -10.859 1.000
ML29 ML37 2.864 1.000
