39.842 143.307 22.402 SYN
0.000 0.000 0.000 0.825
ML19 ML30 -2.198 1.000
ML09 ML18 -7.305 1.000
ML06 ML30 -6.047 1.000
ML06 ML09 5.528 1.000
ML28 ML29 -3.122 1.000
ML21 ML28 -2.814 1.000
ML08 ML29 -5.864 1.000
ML21 ML37 -2.848 1.000
ML20 ML30 -3.487 1.000
ML06 ML08 1.212 1.000
ML08 ML21 0.264 1.000
ML07 ML21 1.602 1.000
ML19 ML38 1.334 1.000
ML28 ML37 -0.285 1.000
ML37 ML38 -1.085 1.000
ML07 ML39 1.164 1.000
ML09 ML31 -6.944 1.000
ML18 ML39 2.781 1.000
ML06 ML37 -1.649 1.000
ML09 ML20 -8.016 1.000
ML19 ML39 5.035 1.000
ML21 ML39 -0.240 1.000
ML17 ML39 -1.690 1.000
ML17 ML30 -8.548 1.000
ML19 ML29 -0.466 1.000
ML07 ML08 1.547 1.000
ML19 ML28 2.245 1.000
ML18 ML31 0.453 1.000
ML37 ML39 2.897 1.000
ML17 ML19 -6.369 1.000
ML31 ML38 -1.326 1.000
ML30 ML37 4.520 1.000
ML19 ML21 5.332 1.000
ML29 ML38 1.886 1.000
ML07 ML31 -1.196 1.000
ML06 ML31 -1.395 1.000
ML18 ML19 -2.186 1.000
ML31 ML39 2.459 1.000
ML17 ML28 -4.133 1.000
ML21 ML29 -5.804 1.000
ML06 ML28 -1.616 1.000
ML09 ML17 -3.103 1.000
ML21 ML30 -7.480 1.000
ML38 ML39 3.657 1.000
ML08 ML20 -3.764 1.000
