39.793 143.158 18.410 SYN
0.000 0.000 0.000 0.806
ML09 ML39 -6.266 1.000
ML19 ML29 -2.247 1.000
ML09 ML30 -12.529 1.000
ML06 ML09 5.932 1.000
ML06 ML18 -2.696 1.000
ML06 ML38 -5.033 1.000
ML06 ML28 -3.520 1.000
ML07 ML28 -3.570 1.000
ML07 ML30 -6.803 1.000
ML20 ML29 -3.890 1.000
ML08 ML20 -3.824 1.000
ML09 ML31 -7.447 1.000
ML07 ML38 -5.301 1.000
ML19 ML28 0.410 1.000
ML20 ML31 0.478 1.000
ML17 ML19 -5.056 1.000
ML06 ML30 -6.706 1.000
ML21 ML38 -6.664 1.000
ML28 ML31 1.790 1.000
ML09 ML37 -10.780 1.000
ML06 ML37 -4.815 1.000
ML08 ML21 -0.100 1.000
ML07 ML29 -6.283 1.000
ML07 ML17 1.051 1.000
ML17 ML29 -7.344 1.000
ML29 ML39 5.951 1.000
