39.823 143.232 21.379 SYN
0.000 0.000 0.000 1.756
ML08 ML39 -1.610 1.000
ML07 ML09 6.365 1.000
ML29 ML30 0.876 1.000
ML17 ML18 -3.460 1.000
ML08 ML17 -2.690 1.000
ML19 ML30 -1.957 1.000
ML29 ML37 1.105 1.000
ML09 ML18 -10.405 1.000
ML07 ML31 -0.876 1.000
ML17 ML28 -4.961 1.000
ML19 ML28 -0.996 1.000
ML28 ML29 -1.813 1.000
ML17 ML29 -6.557 1.000
ML37 ML38 1.326 1.000
ML07 ML29 -7.350 1.000
ML18 ML29 -2.887 1.000
ML19 ML31 3.593 1.000
ML08 ML38 -6.861 1.000
ML20 ML21 3.965 1.000
ML17 ML37 -5.406 1.000
ML19 ML20 2.535 1.000
ML18 ML38 -0.738 1.000
ML08 ML31 -2.900 1.000
ML06 ML17 0.331 1.000
ML18 ML19 -0.117 1.000
ML18 ML28 -1.386 1.000
ML07 ML20 -1.710 1.000
ML20 ML31 0.765 1.000
ML09 ML19 -10.626 1.000
ML18 ML37 -1.970 1.000
ML06 ML30 -5.354 1.000
ML18 ML21 6.288 1.000
ML19 ML21 6.640 1.000
ML07 ML39 0.474 1.000
ML37 ML39 6.621 1.000
