39.821 143.291 25.187 SYN
0.000 0.000 0.000 0.664
ML06 ML39 -0.026 1.000
ML21 ML29 -4.572 1.000
ML20 ML38 0.257 1.000
ML09 ML17 -1.694 1.000
ML09 ML29 -9.180 1.000
ML09 ML28 -5.744 1.000
ML28 ML29 -3.388 1.000
ML06 ML09 4.762 1.000
ML09 ML38 -7.841 1.000
ML18 ML29 -2.857 1.000
ML21 ML37 -1.856 1.000
ML17 ML19 -6.951 1.000
ML20 ML37 1.669 1.000
ML21 ML38 -3.318 1.000
ML38 ML39 3.315 1.000
ML19 ML38 1.008 1.000
ML17 ML18 -4.469 1.000
ML07 ML28 -0.456 1.000
ML08 ML28 -1.550 1.000
ML20 ML39 3.266 1.000
ML18 ML28 0.405 1.000
ML08 ML29 -4.892 1.000
ML18 ML20 -1.817 1.000
ML28 ML37 -0.532 1.000
ML21 ML39 -0.306 1.000
ML29 ML31 2.013 1.000
