39.793 143.357 17.533 SYN
0.000 0.000 0.000 0.726
ML08 ML21 0.689 1.000
ML20 ML38 0.244 1.000
ML07 ML19 -3.944 1.000
ML08 ML30 -7.039 1.000
ML09 ML37 -8.515 1.000
ML06 ML19 -3.456 1.000
ML06 ML18 -2.193 1.000
ML17 ML37 -2.977 1.000
ML07 ML39 2.980 1.000
ML06 ML37 -0.945 1.000
ML29 ML30 -0.077 1.000
ML20 ML29 -3.504 1.000
ML18 ML20 1.216 1.000
ML08 ML09 4.781 1.000
ML30 ML38 3.643 1.000
ML09 ML18 -9.781 1.000
ML07 ML29 -4.906 1.000
ML17 ML18 -4.363 1.000
ML30 ML39 7.911 1.000
ML06 ML38 -0.649 1.000
ML06 ML08 2.733 1.000
ML20 ML39 4.361 1.000
ML08 ML29 -7.091 1.000
ML07 ML38 -1.106 1.000
ML21 ML38 -3.888 1.000
ML31 ML37 -1.955 1.000
ML29 ML37 3.414 1.000
ML07 ML30 -4.624 1.000
ML18 ML37 1.255 1.000
ML08 ML38 -3.288 1.000
