39.858 143.269 19.777 SYN
0.000 0.000 0.000 1.108
ML20 ML21 3.783 1.000
ML18 ML30 -4.519 1.000
ML08 ML20 -3.864 1.000
ML20 ML38 -1.049 1.000
ML18 ML38 -1.421 1.000
ML19 ML21 5.034 1.000
ML19 ML20 1.498 1.000
ML07 ML31 -1.852 1.000
ML08 ML17 0.998 1.000
ML31 ML37 -0.674 1.000
ML17 ML38 -6.137 1.000
ML07 ML37 -2.597 1.000
ML06 ML29 -5.124 1.000
ML18 ML19 -1.760 1.000
ML19 ML31 2.186 1.000
ML08 ML31 -3.206 1.000
ML07 ML17 2.393 1.000
ML17 ML31 -4.343 1.000
ML08 ML21 -0.208 1.000
ML06 ML30 -6.632 1.000
ML08 ML29 -6.382 1.000
ML29 ML39 5.398 1.000
ML28 ML37 -0.556 1.000
ML08 ML19 -5.175 1.000
ML09 ML20 -8.099 1.000
ML07 ML08 1.282 1.000
